programId,level,location,exercise_count,count_within_tolerance_3,flag
muscle_up,10,office,1,7,OK
muscle_up,10,park,1,7,OK
muscle_up,10,service,1,7,OK
muscle_up,10,street,1,7,OK
one_arm_pullup,1,airport,2,12,OK
one_arm_pullup,1,gym,2,12,OK
one_arm_pullup,1,home,2,12,OK
one_arm_pullup,1,office,2,12,OK
one_arm_pullup,1,park,2,11,OK
one_arm_pullup,1,service,2,12,OK
one_arm_pullup,1,street,2,12,OK
one_arm_pullup,2,airport,2,13,OK
one_arm_pullup,2,gym,2,13,OK
one_arm_pullup,2,home,2,13,OK
one_arm_pullup,2,office,2,13,OK
one_arm_pullup,2,park,2,12,OK
one_arm_pullup,2,service,2,13,OK
one_arm_pullup,2,street,2,13,OK
one_arm_pullup,3,airport,5,16,OK
one_arm_pullup,3,gym,5,16,OK
one_arm_pullup,3,home,5,16,OK
one_arm_pullup,3,office,5,16,OK
one_arm_pullup,3,park,5,15,OK
one_arm_pullup,3,service,5,16,OK
one_arm_pullup,3,street,5,16,OK
one_arm_pullup,4,airport,3,21,OK
one_arm_pullup,4,gym,3,21,OK
one_arm_pullup,4,home,3,21,OK
one_arm_pullup,4,office,3,21,OK
one_arm_pullup,4,park,2,20,OK
one_arm_pullup,4,service,3,21,OK
one_arm_pullup,4,street,3,21,OK
one_arm_pullup,5,airport,1,20,OK
one_arm_pullup,5,gym,1,20,OK
one_arm_pullup,5,home,1,20,OK
one_arm_pullup,5,office,1,20,OK
one_arm_pullup,5,park,1,19,OK
one_arm_pullup,5,service,1,20,OK
one_arm_pullup,5,street,1,20,OK
one_arm_pullup,6,airport,3,20,OK
one_arm_pullup,6,gym,3,20,OK
one_arm_pullup,6,home,3,20,OK
one_arm_pullup,6,office,3,20,OK
one_arm_pullup,6,park,3,19,OK
one_arm_pullup,6,service,3,20,OK
one_arm_pullup,6,street,3,20,OK
one_arm_pullup,7,airport,5,17,OK
one_arm_pullup,7,gym,5,17,OK
one_arm_pullup,7,home,5,17,OK
one_arm_pullup,7,office,5,17,OK
one_arm_pullup,7,park,5,16,OK
one_arm_pullup,7,service,5,17,OK
one_arm_pullup,7,street,5,17,OK
one_arm_pullup,8,airport,1,14,OK
one_arm_pullup,8,gym,1,14,OK
one_arm_pullup,8,home,1,14,OK
one_arm_pullup,8,office,1,14,OK
one_arm_pullup,8,park,1,14,OK
one_arm_pullup,8,service,1,14,OK
one_arm_pullup,8,street,1,14,OK
one_arm_pullup,9,airport,2,13,OK
one_arm_pullup,9,gym,2,13,OK
one_arm_pullup,9,home,2,13,OK
one_arm_pullup,9,office,2,13,OK
one_arm_pullup,9,park,2,13,OK
one_arm_pullup,9,service,2,13,OK
one_arm_pullup,9,street,2,13,OK
one_arm_pullup,10,airport,2,10,OK
one_arm_pullup,10,gym,2,10,OK
one_arm_pullup,10,home,2,10,OK
one_arm_pullup,10,office,2,10,OK
one_arm_pullup,10,park,2,10,OK
one_arm_pullup,10,service,2,10,OK
one_arm_pullup,10,street,2,10,OK
planche,1,airport,9,15,OK
planche,1,gym,9,15,OK
planche,1,home,9,15,OK
planche,1,office,9,15,OK
planche,1,park,8,11,OK
planche,1,service,9,15,OK
planche,1,street,9,15,OK
planche,2,airport,1,18,OK
planche,2,gym,1,18,OK
planche,2,home,1,18,OK
planche,2,office,1,18,OK
planche,2,park,1,14,OK
planche,2,service,1,18,OK
planche,2,street,1,18,OK
planche,3,airport,2,21,OK
planche,3,gym,2,21,OK
planche,3,home,2,21,OK
planche,3,office,2,21,OK
planche,3,park,1,16,OK
planche,3,service,2,21,OK
planche,3,street,2,21,OK
planche,4,airport,3,24,OK
planche,4,gym,3,24,OK
planche,4,home,3,24,OK
planche,4,office,3,24,OK
planche,4,park,1,18,OK
planche,4,service,3,24,OK
planche,4,street,3,24,OK
planche,5,airport,3,17,OK
planche,5,gym,3,17,OK
planche,5,home,3,17,OK
planche,5,office,3,17,OK
planche,5,park,3,11,OK
planche,5,service,3,17,OK
planche,5,street,3,17,OK
planche,6,airport,3,18,OK
planche,6,gym,3,18,OK
planche,6,home,3,18,OK
planche,6,office,3,18,OK
planche,6,park,2,11,OK
planche,6,service,3,18,OK
planche,6,street,3,18,OK
planche,7,airport,3,17,OK
planche,7,gym,3,17,OK
planche,7,home,3,17,OK
planche,7,office,3,17,OK
planche,7,park,2,11,OK
planche,7,service,3,17,OK
planche,7,street,3,17,OK
planche,8,airport,2,16,OK
planche,8,gym,2,16,OK
planche,8,home,2,16,OK
planche,8,office,2,16,OK
planche,8,park,1,11,OK
planche,8,service,2,16,OK
planche,8,street,2,16,OK
planche,9,airport,2,13,OK
planche,9,gym,2,13,OK
planche,9,home,2,13,OK
planche,9,office,2,13,OK
planche,9,park,1,8,OK
planche,9,service,2,13,OK
planche,9,street,2,13,OK
planche,10,airport,1,10,OK
planche,10,gym,1,10,OK
planche,10,home,1,10,OK
planche,10,office,1,10,OK
planche,10,park,1,6,OK
planche,10,service,1,10,OK
planche,10,street,1,10,OK
planche,11,airport,2,7,OK
planche,11,gym,2,7,OK
planche,11,home,2,7,OK
planche,11,office,2,7,OK
planche,11,park,1,4,THIN
planche,11,service,2,7,OK
planche,11,street,2,7,OK
pull,1,airport,3,8,OK
pull,1,gym,3,8,OK
pull,1,home,3,8,OK
pull,1,office,3,8,OK
pull,1,park,4,10,OK
pull,1,service,3,8,OK
pull,1,street,3,8,OK
pull,2,airport,2,14,OK
pull,2,gym,2,14,OK
pull,2,home,2,14,OK
pull,2,office,2,14,OK
pull,2,park,2,17,OK
pull,2,service,2,14,OK
pull,2,street,2,14,OK
pull,3,airport,2,17,OK
pull,3,gym,2,17,OK
pull,3,home,2,17,OK
pull,3,office,2,17,OK
pull,3,park,3,19,OK
pull,3,service,2,17,OK
pull,3,street,2,17,OK
pull,4,airport,1,20,OK
pull,4,gym,1,20,OK
pull,4,home,1,20,OK
pull,4,office,1,20,OK
pull,4,park,1,21,OK
pull,4,service,1,20,OK
pull,4,street,1,20,OK
pull,5,airport,6,19,OK
pull,5,gym,6,19,OK
pull,5,home,6,19,OK
pull,5,office,6,19,OK
pull,5,park,7,19,OK
pull,5,service,6,19,OK
pull,5,street,6,19,OK
pull,6,airport,3,19,OK
pull,6,gym,3,19,OK
pull,6,home,3,19,OK
pull,6,office,3,19,OK
pull,6,park,2,18,OK
pull,6,service,3,19,OK
pull,6,street,3,19,OK
pull,7,airport,3,22,OK
pull,7,gym,3,22,OK
pull,7,home,3,22,OK
pull,7,office,3,22,OK
pull,7,park,2,20,OK
pull,7,service,3,22,OK
pull,7,street,3,22,OK
pull,8,airport,2,24,OK
pull,8,gym,2,24,OK
